(C) University of Turku 2018
https://peppi.utu.fi
Nimi,Opintojakson tunnus,Laajuus
Security Engineering,DTEK0039,5.0
Acquisition and Analysis of Biosignals,DTEK0042,5.0
IoT Systems: Design and Applications,DTEK0043,5.0
Project Management,DTEK0044,2.0
"Technological Systems, Foresight and Societal Change",DTEK0046,5.0
Product Development and Management - PDM,DTEK0048,5.0
Sulautetut prosessorijärjestelmät,DTEK1019,4.0
Diplomityöseminaari,DTEK1020,5.0
Tiedonsiirron perusteet,DTEK1039,5.0
Teollisuustalouden ja tuote- ja palveluliiketoiminnan opintojakso,DTEK1044,2.0
Insinöörityön perusteet,DTEK1045,5.0
Olio-ohjelmoinnin metodiikka,DTEK1048,4.0
Käyttöliittymät,DTEK1049,4.0
Tietoverkkotekniikat,DTEK1050,4.0
Tietokonearkkitehtuurit ja käyttöjärjestelmät,DTEK1051,4.0
Energy Efficient Embedded Electronics,DTEK1057,5.0
Tietoyhteiskunta ja kyberturvallisuus,DTEK1064,4.0
Hajautetut ohjelmistojärjestelmät ja pilvipalvelut,DTEK1066,4.0
"Opiskelun ja työelämän tietotekniikka, Digitaalisuus",DTEK1067,1.0
"Opiskelun ja työelämän tietotekniikka, Tieto-ja kyberturvallisuus",DTEK1068,1.0
"Opiskelun ja työelämän tietotekniikka, Toimistosovellukset",DTEK1069,1.0
"Opiskelun ja työelämän tietotekniikka, Unix",DTEK1070,1.0
Health Informatics,DTEK1075,5.0
"Opiskelun ja työelämän tietotekniikka, Matlab",DTEK1076,1.0
Ohjelmistotuotannon peruskurssi,DTEK1201,4.0
Mikroprosessorit,DTEK1203,5.0
Lineaariset järjestelmät ja piirit,DTEK1205,5.0
Elektroniikkajärjestelmät,DTEK1206,4.0
Digitaaliset tietoliikennejärjestelmät,DTEK1207,5.0
Digitaalinen signaalinkäsittely,DTEK1208,3.0
Multiprocessor Architectures,DTEK2027,5.0
Human Element in Information Security,DTEK2029,5.0
Communication Technologies and Security in IoT,DTEK2034,5.0
Industrial Seminar on Future Technologies,DTEK2036,5.0
Lean Platform Business Design,DTEK2037,10.0
Co-Creation in Product Development,DTEK2038,5.0
Technology Design in Context,DTEK2039,5.0
Web- ja mobiiliohjelmointi,DTEK2040,5.0
Sulautettujen järjestelmien ohjelmointi,DTEK2041,4.0
System and Application Security,DTEK8025,5.0
Protocol Processing and Security,DTEK8060,5.0
Firewall and IPS Technology,DTEK8063,5.0
HDL Based Design,DTEK8067,5.0
Capstone Project,DTEK8076,15.0
Medical Instrumentation,DTEK8080,5.0
Embedded IoT Programming,DTEK8081,5.0
FPGA Prototyping and Configurable Computing,DTEK8082,5.0
Digital Systems Engineering,DTEK8083,5.0
Autonomous Systems Architectures,DTEK8085,5.0
Sensors and Interfaces,DTEK8086,5.0
Analog IC Design,DTEK8088,5.0
Mixed-Mode IC Design,DTEK8089,5.0
RF IC Design,DTEK8090,5.0
"Master’s Thesis Seminar, Health Technology, Medical Analytics and Health IoT",DTEK8094,5.0
DSP System Engineering,DTEK8095,5.0
Network Infrastructure Technologies and Security,DTEK8096,5.0
